program,threads,image,image_size,time_sec,time_tolerance_sec,io
mandelbrot_seq,1,elephant.log,16,0.001351,0.0004,0
mandelbrot_seq,1,elephant.log,32,0.001827,3.15e-05,0
mandelbrot_seq,1,elephant.log,64,0.0049725,4.43e-05,0
mandelbrot_seq,1,elephant.log,128,0.018374,0.000107,0
mandelbrot_seq,1,elephant.log,256,0.070903,0.000221,0
mandelbrot_seq,1,elephant.log,512,0.280108,0.000379,0
mandelbrot_seq,1,elephant.log,1024,1.12347,0.00203,0
mandelbrot_seq,1,elephant.log,2048,4.4925,0.0107,0
mandelbrot_seq,1,elephant.log,4096,17914,0.0416,0
mandelbrot_seq,1,elephant.log,8192,71.5761,0.0487,0
mandelbrot_seq,1,full.log,16,0.0006183,2.71e-05,0
mandelbrot_seq,1,full.log,32,0.0007222,1.44e-05,0
mandelbrot_seq,1,full.log,64,0.001979,0.000512,0
mandelbrot_seq,1,full.log,128,0.0038943,2.56e-05,0
mandelbrot_seq,1,full.log,256,0.014444,0.000226,0
mandelbrot_seq,1,full.log,512,0.05475,0.000444,0
mandelbrot_seq,1,full.log,1024,0.214637,0.000535,0
mandelbrot_seq,1,full.log,2048,0.87207,0.00221,0
mandelbrot_seq,1,full.log,4096,3.52723,0.0074,0
mandelbrot_seq,1,full.log,8192,14.05029,0.0075,0
mandelbrot_seq,1,seahorse.log,16,0.0007632,2.02e-05,0
mandelbrot_seq,1,seahorse.log,32,0.001639,1.2e-05,0
mandelbrot_seq,1,seahorse.log,64,0.0053152,7.67e-05,0
mandelbrot_seq,1,seahorse.log,128,0.0191223,5.73e-05,0
mandelbrot_seq,1,seahorse.log,256,0.074642,0.000201,0
mandelbrot_seq,1,seahorse.log,512,0.296342,0.000605,0
mandelbrot_seq,1,seahorse.log,1024,1.18054,0.00174,0
mandelbrot_seq,1,seahorse.log,2048,4.73945,0.00928,0
mandelbrot_seq,1,seahorse.log,4096,18.9921,0.0374,0
mandelbrot_seq,1,seahorse.log,8192,75.5102,0.0287,0
mandelbrot_seq,1,triple_spiral.log,16,0.001002,0.00014,0
mandelbrot_seq,1,triple_spiral.log,32,0.0018653,3.17e-05,0
mandelbrot_seq,1,triple_spiral.log,64,0.0057716,1.86e-05,0
mandelbrot_seq,1,triple_spiral.log,128,0.021796,0.000145,0
mandelbrot_seq,1,triple_spiral.log,256,0.084993,0.000478,0
mandelbrot_seq,1,triple_spiral.log,512,0.334626,0.000235,0
mandelbrot_seq,1,triple_spiral.log,1024,1.33904,0.00127,0
mandelbrot_seq,1,triple_spiral.log,2048,5.3994,0.0478,0
mandelbrot_seq,1,triple_spiral.log,4096,21.36015,0.00375,0
mandelbrot_seq,1,triple_spiral.log,8192,85.4736,0.0587,0
mandelbrot_pth,1,elephant.log,16,0.0009109,3.02e-05,1
mandelbrot_pth,1,elephant.log,32,0.0018102,5.62e-05,1
mandelbrot_pth,1,elephant.log,64,0.0050363,2.54e-05,1
mandelbrot_pth,1,elephant.log,128,0.0180014,3.34e-05,1
mandelbrot_pth,1,elephant.log,256,0.0697516,6.47e-05,1
mandelbrot_pth,1,elephant.log,512,0.274747,0.000119,1
mandelbrot_pth,1,elephant.log,1024,1.096382,0.00073,1
mandelbrot_pth,1,elephant.log,2048,4.38714,0.00335,1
mandelbrot_pth,1,elephant.log,4096,17.49414,0.00633,1
mandelbrot_pth,1,elephant.log,8192,69.9347,0.0207,1
