program,threads,image,image_size,time_sec,time_tolerance_sec,io
mandelbrot_pth,2,full.log,256,0.011244,0.000392,1
mandelbrot_pth,2,full.log,512,0.040426,0.000937,1
mandelbrot_pth,2,full.log,1024,0.16257,0.00228,1
mandelbrot_pth,2,full.log,2048,0.59632,0.00245,1
mandelbrot_pth,2,full.log,4096,2.4039,0.0108,1
mandelbrot_pth,2,full.log,8192,9.43508,0.0071,1
mandelbrot_pth,2,seahorse.log,16,0.002337,0.000828,1
mandelbrot_pth,2,seahorse.log,32,0.001776,0.000314,1
mandelbrot_pth,2,seahorse.log,64,0.004202,0.000259,1
mandelbrot_pth,2,seahorse.log,128,0.012276,0.000299,1
mandelbrot_pth,2,seahorse.log,256,0.049674,0.000903,1
mandelbrot_pth,2,seahorse.log,512,0.18787,0.00373,1
mandelbrot_pth,2,seahorse.log,1024,0.70781,0.00169,1
mandelbrot_pth,2,seahorse.log,2048,2.8147,0.00585,1
mandelbrot_pth,2,seahorse.log,4096,11.24196,0.00473,1
mandelbrot_pth,2,seahorse.log,8192,45.2669,0.0757,1
mandelbrot_pth,2,triple_spiral.log,16,0.001187,0.000113,1
mandelbrot_pth,2,triple_spiral.log,32,0.00435,0.00142,1
mandelbrot_pth,2,triple_spiral.log,64,0.0039568,7.95e-05,1
mandelbrot_pth,2,triple_spiral.log,128,0.014026,0.000317,1
mandelbrot_pth,2,triple_spiral.log,256,0.054478,0.000998,1
mandelbrot_pth,2,triple_spiral.log,512,0.19533,0.00324,1
mandelbrot_pth,2,triple_spiral.log,1024,0.75593,0.00251,1
mandelbrot_pth,2,triple_spiral.log,2048,3.0388,0.0359,1
mandelbrot_pth,2,triple_spiral.log,4096,11.9845,0.0189,1
mandelbrot_pth,2,triple_spiral.log,8192,48.7923,0.0406,1
mandelbrot_pth,4,elephant.log,16,0.000981,4.37e-05,1
mandelbrot_pth,4,elephant.log,32,0.002197,0.000253,1
mandelbrot_pth,4,elephant.log,64,0.004108,0.000625,1
mandelbrot_pth,4,elephant.log,128,0.008883,0.00054,1
mandelbrot_pth,4,elephant.log,256,0.03011,0.00125,1
mandelbrot_pth,4,elephant.log,512,0.11135,0.00141,1
mandelbrot_pth,4,elephant.log,1024,0.45979,0.00313,1
mandelbrot_pth,4,elephant.log,2048,1.80776,0.00544,1
mandelbrot_pth,4,elephant.log,4096,7.1965,0.0156,1
mandelbrot_pth,4,elephant.log,8192,28.7733,0.0948,1
mandelbrot_pth,4,full.log,16,0.001385,0.000403,1
mandelbrot_pth,4,full.log,32,0.002594,0.000546,1
mandelbrot_pth,4,full.log,64,0.001993,0.00035,1
mandelbrot_pth,4,full.log,128,0.003586,0.000213,1
mandelbrot_pth,4,full.log,256,0.010208,0.0003,1
mandelbrot_pth,4,full.log,512,0.037166,0.000742,1
mandelbrot_pth,4,full.log,1024,0.15143,0.00315,1
mandelbrot_pth,4,full.log,2048,0.5983,0.00331,1
mandelbrot_pth,4,full.log,4096,2.3772,0.0214,1
mandelbrot_pth,4,full.log,8192,9.3029,0.0552,1
mandelbrot_pth,4,seahorse.log,16,0.002003,0.000531,1
mandelbrot_pth,4,seahorse.log,32,0.001901,0.000331,1
mandelbrot_pth,4,seahorse.log,64,0.003703,0.000238,1
mandelbrot_pth,4,seahorse.log,128,0.009754,0.000578,1
mandelbrot_pth,4,seahorse.log,256,0.031351,0.000862,1
mandelbrot_pth,4,seahorse.log,512,0.11972,0.00276,1
mandelbrot_pth,4,seahorse.log,1024,0.48106,0.00506,1
mandelbrot_pth,4,seahorse.log,2048,1.9455,0.0152,1
mandelbrot_pth,4,seahorse.log,4096,7672,0.0306,1
mandelbrot_pth,4,seahorse.log,8192,30774,101,1
mandelbrot_pth,4,triple_spiral.log,16,0.001705,0.000658,1
mandelbrot_pth,4,triple_spiral.log,32,0.00248,0.000689,1
mandelbrot_pth,4,triple_spiral.log,64,0.003601,0.000179,1
mandelbrot_pth,4,triple_spiral.log,128,0.009619,0.000605,1
mandelbrot_pth,4,triple_spiral.log,256,0.03374,0.00103,1
mandelbrot_pth,4,triple_spiral.log,512,0.13405,0.00241,1
mandelbrot_pth,4,triple_spiral.log,1024,0.52903,0.00372,1
mandelbrot_pth,4,triple_spiral.log,2048,2.07454,0.00933,1
mandelbrot_pth,4,triple_spiral.log,4096,8298,0.0196,1
mandelbrot_pth,4,triple_spiral.log,8192,33.0455,0.0998,1
mandelbrot_pth,6,elephant.log,16,0.001657,0.00059,1
mandelbrot_pth,6,elephant.log,32,0.002615,0.000438,1
mandelbrot_pth,6,elephant.log,64,0.003389,0.000138,1
mandelbrot_pth,6,elephant.log,128,0.009062,0.000349,1
mandelbrot_pth,6,elephant.log,256,0.032472,0.000867,1
mandelbrot_pth,6,elephant.log,512,0.11588,0.00109,1
mandelbrot_pth,6,elephant.log,1024,0.4686,0.00448,1
mandelbrot_pth,6,elephant.log,2048,1.7635,0.0161,1
mandelbrot_pth,6,elephant.log,4096,7.0038,0.0317,1
mandelbrot_pth,6,elephant.log,8192,27.7035,0.0678,1
mandelbrot_pth,6,full.log,16,0.0010122,8.4e-05,1
mandelbrot_pth,6,full.log,32,0.001462,0.000383,1
mandelbrot_pth,6,full.log,64,0.0014781,6.05e-05,1
mandelbrot_pth,6,full.log,128,0.0032011,6.81e-05,1
mandelbrot_pth,6,full.log,256,0.010565,0.000282,1
mandelbrot_pth,6,full.log,512,0.037678,0.000514,1
mandelbrot_pth,6,full.log,1024,0.15991,0.00612,1
mandelbrot_pth,6,full.log,2048,0.60066,0.00426,1
mandelbrot_pth,6,full.log,4096,2.3227,0.0178,1
mandelbrot_pth,6,full.log,8192,9.0884,0.0181,1
mandelbrot_pth,6,seahorse.log,16,0.001761,0.000629,1
mandelbrot_pth,6,seahorse.log,32,0.001562,0.000102,1
mandelbrot_pth,6,seahorse.log,64,0.004504,0.000444,1
mandelbrot_pth,6,seahorse.log,128,0.008734,0.000135,1
mandelbrot_pth,6,seahorse.log,256,0.032566,0.000689,1
mandelbrot_pth,6,seahorse.log,512,0.11676,0.00139,1
mandelbrot_pth,6,seahorse.log,1024,0.4871,0.00608,1
mandelbrot_pth,6,seahorse.log,2048,1.8479,0.0154,1
mandelbrot_pth,6,seahorse.log,4096,7.2974,0.0241,1
mandelbrot_pth,6,seahorse.log,8192,29091,123,1
mandelbrot_pth,6,triple_spiral.log,16,0.001693,0.000294,1
mandelbrot_pth,6,triple_spiral.log,32,0.002401,0.000496,1
mandelbrot_pth,6,triple_spiral.log,64,0.003936,0.000141,1
mandelbrot_pth,6,triple_spiral.log,128,0.010507,0.000469,1
mandelbrot_pth,6,triple_spiral.log,256,0.035915,0.000892,1
mandelbrot_pth,6,triple_spiral.log,512,0.14027,0.00118,1
mandelbrot_pth,6,triple_spiral.log,1024,0.53257,0.00395,1
mandelbrot_pth,6,triple_spiral.log,2048,2.0558,13,1
mandelbrot_pth,6,triple_spiral.log,4096,8.1205,0.0478,1
mandelbrot_pth,6,triple_spiral.log,8192,32.1527,0.0857,1
mandelbrot_pth,8,elephant.log,16,0.001847,0.000686,1
mandelbrot_pth,8,elephant.log,32,0.00356,0.00109,1
mandelbrot_pth,8,elephant.log,64,0.003661,0.000235,1
mandelbrot_pth,8,elephant.log,128,0.008318,0.000254,1
mandelbrot_pth,8,elephant.log,256,0.030143,0.000977,1
mandelbrot_pth,8,elephant.log,512,0.11343,0.00175,1
mandelbrot_pth,8,elephant.log,1024,0.44462,0.00292,1
mandelbrot_pth,8,elephant.log,2048,1.72746,0.00496,1
mandelbrot_pth,8,elephant.log,4096,6.8229,0.0127,1
mandelbrot_pth,8,elephant.log,8192,27353,119,1
mandelbrot_pth,8,full.log,16,0.001096,0.000154,1
mandelbrot_pth,8,full.log,32,0.002356,0.000249,1
mandelbrot_pth,8,full.log,64,0.002814,0.000269,1
mandelbrot_pth,8,full.log,128,0.003418,0.00018,1
mandelbrot_pth,8,full.log,256,0.010728,0.000491,1
mandelbrot_pth,8,full.log,512,0.035626,0.00067,1
mandelbrot_pth,8,full.log,1024,0.14757,0.00187,1
mandelbrot_pth,8,full.log,2048,0.5645,0.00329,1
mandelbrot_pth,8,full.log,4096,2.2254,0.0121,1
mandelbrot_pth,8,full.log,8192,8.7177,0.0542,1
mandelbrot_pth,8,seahorse.log,16,0.00395,0.00107,1
mandelbrot_pth,8,seahorse.log,32,0.002992,0.000313,1
mandelbrot_pth,8,seahorse.log,64,0.0032657,9.59e-05,1
mandelbrot_pth,8,seahorse.log,128,0.008413,0.000234,1
mandelbrot_pth,8,seahorse.log,256,0.031909,0.000877,1
mandelbrot_pth,8,seahorse.log,512,0.11563,0.00152,1
mandelbrot_pth,8,seahorse.log,1024,0.46975,0.00384,1
mandelbrot_pth,8,seahorse.log,2048,1.81833,0.00988,1
mandelbrot_pth,8,seahorse.log,4096,7.1328,0.0261,1
mandelbrot_pth,8,seahorse.log,8192,28.6731,0.0628,1
mandelbrot_pth,8,triple_spiral.log,16,0.001974,0.000364,1
mandelbrot_pth,8,triple_spiral.log,32,0.002346,0.000225,1
mandelbrot_pth,8,triple_spiral.log,64,0.004309,0.000484,1
mandelbrot_pth,8,triple_spiral.log,128,0.01022,0.000409,1
mandelbrot_pth,8,triple_spiral.log,256,0.034305,0.000896,1
mandelbrot_pth,8,triple_spiral.log,512,0.13866,0.00251,1
mandelbrot_pth,8,triple_spiral.log,1024,0.51421,0.00185,1
mandelbrot_pth,8,triple_spiral.log,2048,1.99623,0.00473,1
mandelbrot_pth,8,triple_spiral.log,4096,8.0727,0.0672,1
mandelbrot_pth,8,triple_spiral.log,8192,31.8311,0.0421,1
mandelbrot_pth,16,elephant.log,16,0.00244,0.0012,1
mandelbrot_pth,16,elephant.log,32,0.002023,0.000128,1
mandelbrot_pth,16,elephant.log,64,0.00368,0.000141,1
mandelbrot_pth,16,elephant.log,128,0.008418,0.000404,1
mandelbrot_pth,16,elephant.log,256,0.028102,0.000641,1
mandelbrot_pth,16,elephant.log,512,0.115585,0.000868,1
mandelbrot_pth,16,elephant.log,1024,0.4409,0.00153,1
mandelbrot_pth,16,elephant.log,2048,1.7501,0.0391,1
mandelbrot_pth,16,elephant.log,4096,6.8655,0.0428,1
mandelbrot_pth,16,elephant.log,8192,27.6387,0.0873,1
mandelbrot_pth,16,full.log,16,0.001297,0.000114,1
mandelbrot_pth,16,full.log,32,0.00429,0.0016,1
mandelbrot_pth,16,full.log,64,0.002891,0.000314,1
mandelbrot_pth,16,full.log,128,0.003469,0.000155,1
mandelbrot_pth,16,full.log,256,0.009942,0.000591,1
mandelbrot_pth,16,full.log,512,0.034337,0.000709,1
mandelbrot_pth,16,full.log,1024,0.13446,0.00134,1
mandelbrot_pth,16,full.log,2048,0.5456,0.00993,1
mandelbrot_pth,16,full.log,4096,2.0669,21,1
mandelbrot_pth,16,full.log,8192,8.1506,0.0189,1
mandelbrot_pth,16,seahorse.log,16,0.00366,0.00141,1
mandelbrot_pth,16,seahorse.log,32,0.00223,0.000154,1
mandelbrot_pth,16,seahorse.log,64,0.003193,0.000117,1
mandelbrot_pth,16,seahorse.log,128,0.008704,0.000208,1
mandelbrot_pth,16,seahorse.log,256,0.03088,0.00105,1
mandelbrot_pth,16,seahorse.log,512,0.11242,0.00117,1
mandelbrot_pth,16,seahorse.log,1024,0.4595,0.00145,1
mandelbrot_pth,16,seahorse.log,2048,1.79641,0.00848,1
mandelbrot_pth,16,seahorse.log,4096,7.1412,0.0147,1
mandelbrot_pth,16,seahorse.log,8192,28.9025,0.0231,1
mandelbrot_pth,16,triple_spiral.log,16,0.0011541,3.76e-05,1
mandelbrot_pth,16,triple_spiral.log,32,0.002729,0.000358,1
mandelbrot_pth,16,triple_spiral.log,64,0.004896,0.000647,1
mandelbrot_pth,16,triple_spiral.log,128,0.010257,0.000433,1
mandelbrot_pth,16,triple_spiral.log,256,0.033942,0.000896,1
mandelbrot_pth,16,triple_spiral.log,512,0.13622,0.00115,1
mandelbrot_pth,16,triple_spiral.log,1024,0.511203,0.000935,1
mandelbrot_pth,16,triple_spiral.log,2048,2.00848,0.0029,1
